v,d,s,r,p
12,0.049,28.775,1,1.302
24,0.053,31.524,1,1.622
4,0.058,22.489,0,1.084
8,0.045,26.814,0,1.293
12,0.023,10.626,0,1.537
24,0.052,28.442,0,1.506
4,0.069,34.227,1,0.992
8,0.040,20.328,1,1.322
12,0.070,29.541,1,1.340
24,0.035,15.143,1,1.586
4,0.033,10.757,0,1.067
8,0.032,17.778,0,1.129
12,0.054,31.493,0,1.370
24,0.082,32.395,0,1.489
4,0.080,30.882,1,1.067
8,0.090,28.890,1,1.229
12,0.107,35.254,1,1.091
24,0.080,31.153,1,1.396
4,0.042,23.758,0,1.144
8,0.056,23.847,0,1.256
12,0.059,19.326,0,1.232
24,0.085,34.848,0,1.360
4,0.031,16.797,1,1.055
8,0.045,15.392,1,1.296
12,0.047,24.182,1,1.259
24,0.076,30.317,1,1.348
4,0.042,24.000,0,1.124
8,0.060,21.634,0,1.077
12,0.051,28.781,0,1.250
24,0.103,37.790,0,1.307
4,0.042,20.315,1,1.166
8,0.050,29.171,1,1.130
12,0.071,36.243,1,1.336
24,0.066,34.913,1,1.542
4,0.083,34.044,0,1.107
8,0.071,28.017,0,1.078
12,0.066,31.103,0,1.157
24,0.031,13.786,0,1.723
4,0.074,38.209,1,1.138
8,0.044,13.761,1,1.216
12,0.076,36.832,1,1.164
24,0.084,34.350,1,1.393
4,0.036,15.350,0,1.091
8,0.055,24.268,0,1.232
12,0.026,13.526,0,1.470
24,0.075,39.144,0,1.406
4,0.039,19.381,1,1.037
8,0.065,37.803,1,1.156
12,0.045,16.489,1,1.403
24,0.064,19.474,1,1.568
4,0.070,32.443,0,1.053
8,0.032,17.375,0,1.269
12,0.040,21.720,0,1.336
24,0.040,22.657,0,1.710
4,0.045,25.076,1,1.136
8,0.023,12.024,1,1.238
12,0.024,10.691,1,1.302
24,0.068,33.226,1,1.497
4,0.046,24.159,0,1.084
8,0.032,17.618,0,1.207
12,0.033,17.477,0,1.220
24,0.029,13.253,0,1.825
4,0.057,29.461,1,1.102
8,0.072,29.062,1,1.153
12,0.035,18.940,1,1.314
24,0.027,13.546,1,1.905
4,0.068,35.555,0,1.121
8,0.053,31.911,0,1.184
12,0.041,23.530,0,1.388
24,0.031,10.242,0,1.562
4,0.065,28.457,1,1.149
8,0.067,25.474,1,1.084
12,0.057,32.203,1,1.353
24,0.031,11.175,1,1.878
4,0.068,37.884,0,1.102
8,0.093,35.573,0,1.195
12,0.052,28.977,0,1.214
24,0.024,10.046,0,1.934
4,0.109,34.502,1,1.008
8,0.027,11.124,1,1.277
12,0.050,24.913,1,1.187
24,0.076,38.125,1,1.388
4,0.080,27.080,0,1.104
8,0.083,31.893,0,1.115
12,0.039,21.553,0,1.269
24,0.075,39.930,0,1.345
4,0.081,30.183,1,0.969
8,0.020,10.392,1,1.269
12,0.050,15.471,1,1.219
24,0.056,23.706,1,1.396
4,0.053,29.827,0,1.081
8,0.088,29.701,0,1.032
12,0.035,14.592,0,1.280
24,0.051,27.763,0,1.499
4,0.061,18.271,1,0.973
8,0.049,17.966,1,1.269
12,0.065,37.763,1,1.214
24,0.054,27.693,1,1.532
4,0.106,31.973,0,1.048
8,0.045,24.451,0,1.164
12,0.039,22.873,0,1.228
24,0.032,18.964,0,1.661
4,0.066,34.597,1,0.990
8,0.105,31.424,1,1.106
12,0.064,27.224,1,1.213
24,0.035,11.112,1,1.627
4,0.079,31.323,0,1.113
8,0.104,36.481,0,1.141
12,0.034,18.172,0,1.277
24,0.083,26.473,0,1.366
4,0.064,35.187,1,0.983
8,0.081,26.849,1,1.256
12,0.041,14.859,1,1.374
24,0.050,26.218,1,1.587
4,0.064,20.811,0,1.070
8,0.022,12.135,0,1.241
12,0.022,11.706,0,1.414
24,0.087,39.700,0,1.356
4,0.084,25.436,1,1.167
8,0.093,28.078,1,1.042
12,0.043,24.990,1,1.439
24,0.024,12.420,1,1.643
4,0.091,39.409,0,1.105
8,0.071,21.888,0,1.227
12,0.046,20.506,0,1.318
24,0.028,14.094,0,1.932
4,0.115,37.326,1,1.033
8,0.059,24.349,1,1.240
12,0.035,13.654,1,1.389
24,0.038,15.618,1,1.797
4,0.073,26.377,0,1.125
8,0.067,36.145,0,1.249
12,0.111,38.163,0,1.131
24,0.078,27.896,0,1.387
4,0.062,20.039,1,1.107
8,0.055,23.372,1,1.260
12,0.029,12.037,1,1.283
24,0.071,22.596,1,1.610
4,0.054,23.306,0,1.084
8,0.050,22.506,0,1.247
12,0.065,27.573,0,1.310
24,0.067,22.409,0,1.478
4,0.096,38.595,1,1.075
8,0.062,24.852,1,1.202
12,0.059,35.110,1,1.326
24,0.046,25.115,1,1.569
4,0.042,22.699,0,1.074
8,0.025,12.779,0,1.215
12,0.029,14.521,0,1.503
24,0.068,37.366,0,1.379
4,0.060,33.746,1,0.992
8,0.061,30.658,1,1.126
12,0.106,33.679,1,1.287
24,0.067,26.807,1,1.623
4,0.051,29.514,0,1.121
8,0.065,24.811,0,1.144
12,0.043,16.499,0,1.339
24,0.060,18.409,0,1.377
4,0.030,17.335,1,1.150
8,0.073,36.685,1,1.173
12,0.108,38.156,1,1.142
24,0.038,12.428,1,1.629
4,0.058,32.564,0,1.082
8,0.077,38.421,0,1.049
12,0.066,30.374,0,1.283
24,0.061,19.152,0,1.400
4,0.097,36.018,1,1.052
8,0.054,31.705,1,1.236
12,0.033,10.123,1,1.433
24,0.036,21.103,1,1.689
4,0.037,19.104,0,1.076
8,0.020,11.292,0,1.246
12,0.075,39.950,0,1.209
24,0.054,18.597,0,1.703
4,0.062,35.916,1,1.084
8,0.038,14.625,1,1.106
12,0.045,15.219,1,1.354
24,0.093,37.334,1,1.479
4,0.038,14.519,0,1.159
8,0.087,28.339,0,1.245
12,0.076,36.779,0,1.318
24,0.077,29.913,0,1.350
4,0.060,30.250,1,1.003
8,0.039,14.532,1,1.170
12,0.041,20.388,1,1.233
24,0.091,35.339,1,1.348
4,0.071,33.965,0,1.086
8,0.030,16.252,0,1.293
12,0.075,33.187,0,1.277
24,0.048,26.648,0,1.512
4,0.058,29.605,1,1.120
8,0.035,19.867,1,1.255
12,0.036,17.652,1,1.376
24,0.061,32.724,1,1.517
4,0.094,37.434,0,1.109
8,0.036,21.253,0,1.178
12,0.037,15.750,0,1.445
24,0.035,17.493,0,1.764
4,0.032,18.345,1,1.077
8,0.046,15.721,1,1.281
12,0.035,17.370,1,1.303
24,0.068,26.941,1,1.562
4,0.020,12.072,0,1.166
8,0.073,29.717,0,1.046
12,0.068,33.763,0,1.342
24,0.049,22.686,0,1.734
4,0.066,38.357,1,1.001
8,0.065,33.586,1,1.210
12,0.064,28.303,1,1.328
24,0.029,13.114,1,1.810
4,0.069,24.630,0,1.046
8,0.111,38.671,0,1.219
12,0.078,39.691,0,1.285
24,0.036,21.495,0,1.531
4,0.061,30.938,1,1.017
8,0.032,17.005,1,1.166
12,0.057,17.839,1,1.246
24,0.039,11.620,1,1.654
4,0.027,15.615,0,1.170
8,0.038,17.167,0,1.283
12,0.108,33.658,0,1.158
24,0.085,34.677,0,1.327
4,0.060,35.476,1,1.152
8,0.038,11.756,1,1.279
12,0.034,16.255,1,1.419
24,0.050,28.699,1,1.544
4,0.104,31.776,0,1.018
8,0.074,32.778,0,1.194
12,0.039,16.452,0,1.213
24,0.100,36.820,0,1.296
4,0.074,31.753,1,0.971
8,0.074,38.249,1,1.259
12,0.045,16.325,1,1.392
24,0.028,14.566,1,1.852
4,0.048,14.621,0,1.152
8,0.051,25.836,0,1.294
12,0.055,27.031,0,1.160
24,0.042,17.503,0,1.602
4,0.051,19.881,1,1.145
8,0.057,32.367,1,1.153
12,0.075,37.137,1,1.348
24,0.066,22.258,1,1.571
4,0.110,38.511,0,1.016
8,0.031,11.501,0,1.154
12,0.043,15.481,0,1.384
24,0.075,30.907,0,1.325
4,0.106,36.053,1,1.091
8,0.041,22.633,1,1.208
12,0.063,28.604,1,1.353
24,0.054,18.457,1,1.658
4,0.098,39.949,0,1.088
8,0.062,35.781,0,1.118
12,0.098,29.981,0,1.228
24,0.060,24.355,0,1.469
4,0.042,13.511,1,1.147
8,0.088,37.071,1,1.250
12,0.078,35.191,1,1.349
24,0.044,15.615,1,1.508
4,0.066,31.703,0,1.082
8,0.092,36.902,0,1.155
12,0.042,19.866,0,1.269
24,0.066,34.896,0,1.450
4,0.100,35.094,1,1.085
8,0.033,13.594,1,1.190
12,0.052,21.429,1,1.286
24,0.023,13.785,1,1.956
4,0.080,30.261,0,1.075
8,0.108,37.797,0,1.148
12,0.061,30.776,0,1.270
24,0.084,30.322,0,1.582
4,0.076,32.325,1,1.102
8,0.061,35.886,1,1.073
12,0.086,36.629,1,1.173
24,0.093,38.465,1,1.416
4,0.038,14.248,0,1.077
8,0.100,30.799,0,1.071
12,0.055,31.562,0,1.156
24,0.061,35.443,0,1.642
4,0.067,31.895,1,1.042
8,0.066,34.752,1,1.263
12,0.049,26.631,1,1.219
24,0.124,37.474,1,1.279
4,0.101,39.254,0,1.065
8,0.055,18.977,0,1.215
12,0.055,27.091,0,1.289
24,0.101,35.676,0,1.533
4,0.041,17.143,1,0.987
8,0.035,15.299,1,1.257
12,0.050,24.884,1,1.299
24,0.059,32.241,1,1.636
4,0.055,29.984,0,1.053
8,0.035,17.564,0,1.281
12,0.072,35.559,0,1.315
24,0.036,21.122,0,1.797
4,0.116,39.675,1,1.101
8,0.055,26.595,1,1.289
12,0.024,13.958,1,1.548
24,0.036,12.975,1,1.735
4,0.072,37.754,0,1.026
8,0.086,38.323,0,1.216
12,0.084,36.583,0,1.201
24,0.031,16.004,0,1.655
4,0.071,24.703,1,1.131
8,0.022,11.292,1,1.225
12,0.036,11.632,1,1.386
24,0.064,23.470,1,1.544
4,0.022,11.211,0,1.177
8,0.046,26.748,0,1.263
12,0.055,32.844,0,1.252
24,0.084,29.582,0,1.412
4,0.032,15.936,1,1.215
8,0.069,21.380,1,1.216
12,0.029,11.811,1,1.354
24,0.041,13.222,1,1.473
4,0.075,32.897,0,1.120
8,0.066,26.832,0,1.273
12,0.057,24.080,0,1.235
24,0.062,24.539,0,1.440
4,0.073,37.247,1,1.011
8,0.043,16.415,1,1.286
12,0.063,33.396,1,1.202
24,0.048,18.378,1,1.695
4,0.068,25.044,0,1.048
8,0.045,26.361,0,1.173
12,0.066,35.742,0,1.206
24,0.020,11.576,0,1.914
4,0.059,32.955,1,1.155
8,0.064,29.135,1,1.161
12,0.033,19.224,1,1.467
24,0.087,36.227,1,1.343
4,0.041,15.728,0,1.120
8,0.090,31.828,0,1.070
12,0.037,12.704,0,1.308
24,0.106,38.636,0,1.374
4,0.062,36.408,1,1.018
8,0.073,26.268,1,1.158
12,0.089,39.028,1,1.334
24,0.074,32.020,1,1.389
4,0.019,10.252,0,1.162
8,0.104,32.293,0,1.184
12,0.061,28.829,0,1.300
24,0.034,17.308,0,1.554
4,0.067,38.610,1,0.974
8,0.057,26.019,1,1.183
12,0.052,30.584,1,1.159
24,0.056,32.048,1,1.545
4,0.038,22.202,0,1.123
8,0.063,34.234,0,1.180
12,0.059,30.673,0,1.278
24,0.108,37.027,0,1.345
4,0.039,14.904,1,1.078
8,0.076,33.080,1,1.207
12,0.067,35.185,1,1.171
24,0.053,29.471,1,1.610
4,0.087,30.912,0,1.088
8,0.054,31.794,0,1.124
12,0.067,33.147,0,1.122
24,0.034,15.591,0,1.624
4,0.046,22.385,1,1.144
8,0.049,20.773,1,1.091
12,0.047,22.471,1,1.420
24,0.056,25.032,1,1.444
4,0.060,23.649,0,1.066
8,0.065,25.380,0,1.248
12,0.027,14.677,0,1.278
24,0.037,17.424,0,1.599
4,0.062,31.380,1,1.129
8,0.090,39.048,1,1.166
12,0.104,32.752,1,1.139
24,0.070,34.299,1,1.520
4,0.040,19.883,0,1.097
8,0.020,11.327,0,1.179
12,0.030,15.288,0,1.334
24,0.057,20.445,0,1.581
4,0.025,13.254,1,1.055
8,0.031,16.343,1,1.264
12,0.081,37.563,1,1.289
24,0.107,39.928,1,1.373
4,0.067,34.494,0,1.035
8,0.065,25.386,0,1.267
12,0.088,29.420,0,1.226
24,0.030,16.391,0,1.880
4,0.022,10.450,1,1.046
8,0.045,18.561,1,1.198
12,0.114,38.221,1,1.080
24,0.068,26.220,1,1.483
4,0.051,30.264,0,1.056
8,0.073,36.061,0,1.083
12,0.023,13.292,0,1.352
24,0.050,26.441,0,1.419
4,0.050,29.882,1,1.130
8,0.033,17.115,1,1.178
12,0.078,30.866,1,1.106
24,0.025,11.554,1,1.827
4,0.026,11.037,0,1.137
8,0.045,15.334,0,1.295
12,0.098,33.518,0,1.212
24,0.025,14.534,0,1.969
4,0.087,35.962,1,0.960
8,0.075,32.790,1,1.139
12,0.052,24.761,1,1.178
24,0.048,22.000,1,1.556
4,0.055,32.780,0,1.123
8,0.061,27.149,0,1.116
12,0.081,36.787,0,1.103
24,0.036,13.097,0,1.503
4,0.078,37.233,1,1.081
8,0.036,19.172,1,1.162
12,0.061,29.864,1,1.338
24,0.050,21.224,1,1.511
4,0.109,35.798,0,1.067
8,0.025,14.352,0,1.215
12,0.054,26.712,0,1.400
24,0.090,28.771,0,1.549
4,0.059,26.562,1,0.982
8,0.048,14.825,1,1.308
12,0.064,36.414,1,1.227
24,0.030,13.292,1,1.571
4,0.033,11.854,0,1.119
8,0.041,21.264,0,1.271
12,0.088,33.202,0,1.273
24,0.024,14.019,0,1.824
4,0.053,25.241,1,1.147
8,0.043,16.319,1,1.263
12,0.031,17.032,1,1.474
24,0.023,10.110,1,1.812
4,0.048,27.953,0,1.093
8,0.076,27.536,0,1.195
12,0.032,11.971,0,1.256
24,0.046,25.394,0,1.615
4,0.097,37.524,1,1.075
8,0.031,11.041,1,1.263
12,0.099,39.221,1,1.290
24,0.114,39.461,1,1.327
4,0.066,27.894,0,1.135
8,0.097,39.234,0,1.197
12,0.040,19.533,0,1.250
24,0.077,34.948,0,1.567
4,0.050,20.540,1,1.042
8,0.096,36.302,1,1.210
12,0.078,25.426,1,1.190
24,0.031,14.570,1,1.841
4,0.067,23.928,0,1.043
8,0.066,35.577,0,1.230
12,0.022,11.880,0,1.491
24,0.062,18.558,0,1.497
4,0.046,25.624,1,1.151
8,0.053,30.492,1,1.190
12,0.089,30.135,1,1.096
24,0.040,17.075,1,1.653
4,0.103,36.752,0,1.110
8,0.057,24.020,0,1.088
12,0.075,27.246,0,1.169
24,0.076,26.169,0,1.394
4,0.044,18.401,1,1.169
8,0.076,28.304,1,1.169
12,0.076,24.832,1,1.150
24,0.036,15.801,1,1.767
4,0.027,10.801,0,1.102
8,0.078,36.093,0,1.090
12,0.039,23.316,0,1.349
24,0.055,18.354,0,1.503
4,0.041,20.560,1,1.150
8,0.082,39.918,1,1.072
12,0.063,34.576,1,1.317
24,0.063,36.229,1,1.470
4,0.090,37.233,0,1.046
8,0.032,16.641,0,1.249
12,0.042,23.516,0,1.362
24,0.031,13.774,0,1.807
4,0.071,39.821,1,1.160
8,0.054,19.174,1,1.208
12,0.058,29.090,1,1.213
24,0.060,31.818,1,1.552
4,0.025,12.093,0,1.149
8,0.021,10.671,0,1.356
12,0.103,34.220,0,1.276
24,0.050,24.467,0,1.581
4,0.047,22.602,1,1.128
8,0.066,23.779,1,1.258
12,0.077,38.948,1,1.123
24,0.033,17.112,1,1.541
4,0.055,27.609,0,1.064
8,0.062,34.738,0,1.082
12,0.056,19.066,0,1.232
24,0.059,33.033,0,1.618
4,0.043,19.671,1,1.176
8,0.038,19.300,1,1.205
12,0.076,31.367,1,1.128
24,0.044,19.260,1,1.562
4,0.056,29.944,0,1.136
8,0.044,25.989,0,1.236
12,0.040,12.957,0,1.290
24,0.055,32.681,0,1.467
4,0.098,29.617,1,0.970
8,0.028,10.677,1,1.369
12,0.097,39.601,1,1.093
24,0.027,15.536,1,1.764
4,0.125,37.987,0,1.081
8,0.049,17.037,0,1.076
12,0.079,33.228,0,1.304
24,0.037,17.434,0,1.570
4,0.061,19.551,1,1.155
8,0.077,34.327,1,1.205
12,0.087,29.318,1,1.218
24,0.067,35.605,1,1.638
4,0.062,29.988,0,1.051
8,0.035,14.926,0,1.323
12,0.026,13.096,0,1.491
24,0.038,13.427,0,1.792
4,0.064,34.597,1,0.997
8,0.033,18.006,1,1.343
12,0.038,12.363,1,1.294
24,0.064,28.655,1,1.361
4,0.038,20.379,0,1.072
8,0.040,19.883,0,1.230
12,0.057,22.725,0,1.208
24,0.078,28.753,0,1.370
4,0.040,20.726,1,1.009
8,0.041,21.810,1,1.193
12,0.085,39.912,1,1.150
24,0.065,28.953,1,1.368
4,0.029,14.047,0,1.143
8,0.086,27.287,0,1.234
12,0.077,32.549,0,1.315
24,0.074,39.854,0,1.405
4,0.101,31.151,1,1.150
8,0.089,26.922,1,1.202
12,0.019,10.139,1,1.365
24,0.060,35.389,1,1.575
4,0.064,23.185,0,1.038
8,0.083,27.034,0,1.201
12,0.073,30.562,0,1.297
24,0.069,21.253,0,1.606
4,0.030,13.862,1,1.216
8,0.107,32.900,1,1.240
12,0.056,24.833,1,1.227
24,0.058,29.459,1,1.442
4,0.053,21.979,0,1.076
8,0.086,29.546,0,1.137
12,0.067,34.778,0,1.176
24,0.080,27.931,0,1.461
4,0.065,26.817,1,1.020
8,0.030,17.154,1,1.338
12,0.116,39.699,1,1.167
24,0.023,13.648,1,1.802
4,0.038,11.901,0,1.146
8,0.025,11.251,0,1.186
12,0.047,15.219,0,1.305
24,0.042,24.694,0,1.550
4,0.056,23.112,1,1.099
8,0.019,10.460,1,1.343
12,0.043,18.247,1,1.348
24,0.039,16.411,1,1.715
4,0.028,11.268,0,1.107
8,0.059,25.831,0,1.120
12,0.071,36.714,0,1.303
24,0.068,38.563,0,1.465
4,0.070,34.548,1,1.051
8,0.055,31.167,1,1.220
12,0.036,11.642,1,1.337
24,0.089,33.768,1,1.472
4,0.103,32.326,0,1.034
8,0.038,11.674,0,1.298
12,0.033,11.190,0,1.340
24,0.051,22.284,0,1.555
4,0.034,10.177,1,1.211
8,0.047,19.718,1,1.285
12,0.035,18.821,1,1.406
24,0.071,27.188,1,1.415
4,0.071,36.890,0,1.055
8,0.047,24.783,0,1.239
12,0.030,17.626,0,1.391
24,0.074,29.504,0,1.331
4,0.033,14.263,1,1.052
8,0.056,22.122,1,1.083
12,0.026,11.355,1,1.270
24,0.062,29.042,1,1.414
4,0.049,28.962,0,1.126
8,0.089,27.397,0,1.119
12,0.073,28.420,0,1.177
24,0.030,11.361,0,1.579
4,0.043,19.523,1,1.010
8,0.025,11.559,1,1.313
12,0.033,11.393,1,1.398
24,0.063,23.281,1,1.579
4,0.082,30.182,0,1.041
8,0.021,11.235,0,1.182
12,0.048,28.996,0,1.262
24,0.081,27.581,0,1.556
4,0.073,35.008,1,1.121
8,0.060,25.044,1,1.250
12,0.043,24.133,1,1.386
24,0.092,34.149,1,1.529
4,0.042,15.712,0,1.157
8,0.034,15.117,0,1.117
12,0.034,12.214,0,1.419
24,0.115,39.237,0,1.488
4,0.020,10.858,1,1.249
8,0.048,23.864,1,1.087
12,0.027,13.847,1,1.451
24,0.020,10.301,1,1.841
4,0.023,11.577,0,1.118
8,0.072,38.564,0,1.165
12,0.033,17.542,0,1.360
24,0.069,36.385,0,1.605
4,0.035,12.523,1,1.180
8,0.053,18.457,1,1.104
12,0.073,37.186,1,1.153
24,0.032,11.869,1,1.601
4,0.095,30.405,0,1.122
8,0.059,20.016,0,1.247
12,0.032,18.502,0,1.285
24,0.109,36.039,0,1.280
4,0.040,20.000,1,1.090
8,0.029,14.990,1,1.367
12,0.069,32.145,1,1.343
24,0.032,15.940,1,1.720
4,0.075,33.539,0,1.074
8,0.062,32.250,0,1.084
12,0.075,29.594,0,1.327
24,0.108,32.575,0,1.475
4,0.073,37.944,1,1.168
8,0.043,18.194,1,1.209
12,0.021,10.239,1,1.459
24,0.047,22.674,1,1.541
4,0.030,15.497,0,1.123
8,0.024,11.784,0,1.228
12,0.072,27.425,0,1.226
24,0.046,14.055,0,1.471
4,0.063,20.186,1,1.146
8,0.063,25.775,1,1.239
12,0.126,38.859,1,1.082
24,0.072,32.660,1,1.550
4,0.069,33.758,0,1.126
8,0.068,36.976,0,1.256
12,0.027,14.280,0,1.359
24,0.103,39.765,0,1.316
4,0.045,21.871,1,1.158
8,0.026,11.829,1,1.364
12,0.056,19.103,1,1.191
24,0.060,24.402,1,1.466
4,0.054,17.293,0,1.143
8,0.051,26.299,0,1.075
12,0.084,29.728,0,1.264
24,0.038,15.138,0,1.710
4,0.099,36.185,1,1.071
8,0.034,19.222,1,1.217
12,0.070,37.944,1,1.292
24,0.022,11.257,1,1.846
4,0.109,37.584,0,1.042
8,0.043,20.358,0,1.125
12,0.033,19.291,0,1.337
24,0.092,30.921,0,1.539
4,0.068,32.855,1,1.031
8,0.086,39.279,1,1.182
12,0.088,39.877,1,1.284
24,0.040,18.680,1,1.714
4,0.050,26.947,0,1.059
8,0.033,15.956,0,1.220
12,0.088,33.207,0,1.201
24,0.037,15.837,0,1.499
4,0.068,31.034,1,0.965
8,0.099,30.875,1,1.053
12,0.024,12.621,1,1.531
24,0.092,36.934,1,1.375
4,0.079,33.899,0,1.102
8,0.058,28.772,0,1.110
12,0.055,30.747,0,1.244
24,0.085,33.262,0,1.306
4,0.041,21.403,1,1.060
8,0.053,16.174,1,1.135
12,0.071,31.484,1,1.154
24,0.048,28.180,1,1.451
4,0.041,20.514,0,1.125
8,0.069,34.394,0,1.273
12,0.043,21.502,0,1.283
24,0.092,33.459,0,1.527
4,0.076,23.964,1,1.042
8,0.071,34.006,1,1.149
12,0.047,20.217,1,1.233
24,0.031,13.068,1,1.777
4,0.101,36.299,0,1.100
8,0.054,28.021,0,1.144
12,0.047,17.337,0,1.235
24,0.054,25.754,0,1.650
4,0.035,20.180,1,1.073
8,0.043,23.170,1,1.288
12,0.027,10.184,1,1.377
24,0.082,31.529,1,1.479
4,0.028,12.623,0,1.162
8,0.050,17.189,0,1.257
12,0.077,35.944,0,1.168
24,0.030,17.217,0,1.847
4,0.041,21.387,1,1.142
8,0.081,32.412,1,1.133
12,0.038,11.656,1,1.311
24,0.042,22.335,1,1.575
4,0.035,20.373,0,1.084
8,0.042,24.254,0,1.220
12,0.054,20.549,0,1.315
24,0.107,34.373,0,1.505
4,0.028,11.406,1,1.217
8,0.100,31.672,1,1.150
12,0.064,20.875,1,1.143
24,0.068,25.376,1,1.402
4,0.043,25.592,0,1.100
8,0.053,29.042,0,1.272
12,0.049,17.830,0,1.370
24,0.055,26.155,0,1.611
4,0.038,16.958,1,1.208
8,0.071,34.880,1,1.106
12,0.066,28.123,1,1.231
24,0.026,14.221,1,1.769
4,0.071,21.732,0,1.107
8,0.048,16.004,0,1.174
12,0.061,26.741,0,1.188
24,0.042,13.615,0,1.608
4,0.061,32.620,1,1.098
8,0.098,33.754,1,1.179
12,0.019,10.724,1,1.427
24,0.034,11.224,1,1.819
4,0.055,23.603,0,1.091
8,0.030,14.501,0,1.221
12,0.027,12.631,0,1.341
24,0.057,31.398,0,1.613
4,0.029,15.611,1,1.161
8,0.039,13.041,1,1.322
12,0.058,20.631,1,1.174
24,0.058,18.404,1,1.540
4,0.059,19.037,0,1.045
8,0.059,25.676,0,1.086
12,0.084,27.093,0,1.152
24,0.051,21.377,0,1.710
4,0.114,36.673,1,1.000
8,0.060,20.617,1,1.077
12,0.085,33.154,1,1.323
24,0.048,21.913,1,1.488
4,0.029,15.867,0,1.152
8,0.074,37.833,0,1.233
12,0.081,34.169,0,1.113
24,0.056,27.128,0,1.542
4,0.080,37.296,1,1.088
8,0.031,11.973,1,1.345
12,0.056,22.984,1,1.332
24,0.068,25.705,1,1.527
4,0.042,19.322,0,1.133
8,0.048,19.634,0,1.250
12,0.034,19.783,0,1.270
24,0.045,18.022,0,1.725
4,0.067,20.782,1,1.127
8,0.040,22.318,1,1.217
12,0.048,16.637,1,1.163
24,0.036,16.496,1,1.654
4,0.077,26.518,0,1.118
8,0.060,27.764,0,1.217
12,0.050,19.797,0,1.315
24,0.105,31.717,0,1.396
4,0.086,27.361,1,1.157
8,0.064,30.346,1,1.275
12,0.079,26.445,1,1.349
24,0.079,35.038,1,1.322
4,0.067,30.997,0,1.041
8,0.094,37.717,0,1.157
12,0.044,21.876,0,1.347
24,0.069,35.412,0,1.559
4,0.096,36.978,1,0.960
8,0.067,36.433,1,1.240
12,0.064,27.973,1,1.279
24,0.114,38.489,1,1.245
4,0.033,10.660,0,1.146
8,0.038,16.144,0,1.320
12,0.112,38.547,0,1.079
24,0.039,12.857,0,1.810
4,0.036,11.622,1,1.201
8,0.030,14.745,1,1.286
12,0.047,27.136,1,1.421
24,0.053,30.902,1,1.542
4,0.086,38.120,0,1.080
8,0.072,38.116,0,1.258
12,0.031,16.532,0,1.408
24,0.048,25.280,0,1.499
4,0.086,31.616,1,1.087
8,0.039,16.961,1,1.107
12,0.062,22.091,1,1.151
24,0.057,33.824,1,1.617
4,0.037,13.028,0,1.103
8,0.049,22.527,0,1.219
12,0.064,31.652,0,1.318
24,0.056,26.702,0,1.399
4,0.060,34.546,1,0.968
8,0.036,20.623,1,1.334
12,0.048,19.976,1,1.351
24,0.048,24.082,1,1.565
4,0.055,27.899,0,1.073
8,0.093,38.722,0,1.148
12,0.071,21.892,0,1.169
24,0.092,33.035,0,1.514
4,0.041,13.995,1,1.011
8,0.025,13.570,1,1.203
12,0.088,29.162,1,1.179
24,0.120,39.556,1,1.464
4,0.041,23.274,0,1.151
8,0.117,35.950,0,1.073
12,0.046,14.276,0,1.398
24,0.029,15.560,0,1.876
4,0.052,20.818,1,1.066
8,0.055,19.690,1,1.267
12,0.041,21.542,1,1.444
24,0.039,18.942,1,1.788
4,0.033,13.854,0,1.121
8,0.025,13.030,0,1.287
12,0.022,10.660,0,1.375
24,0.073,26.109,0,1.581
4,0.032,12.861,1,1.125
8,0.035,12.645,1,1.278
12,0.054,25.058,1,1.223
24,0.059,27.637,1,1.676
4,0.061,20.670,0,1.078
8,0.048,19.218,0,1.109
12,0.067,38.333,0,1.354
24,0.081,37.275,0,1.544
4,0.049,28.700,1,1.123
8,0.051,25.927,1,1.293
12,0.045,21.905,1,1.382
24,0.030,15.043,1,1.846
4,0.040,20.297,0,1.155
8,0.096,36.282,0,1.075
12,0.051,26.915,0,1.267
24,0.039,16.583,0,1.556
4,0.053,22.645,1,0.984
8,0.037,18.344,1,1.315
12,0.048,19.026,1,1.357
24,0.026,15.749,1,1.754
4,0.124,38.798,0,1.040
8,0.045,23.844,0,1.202
12,0.054,28.614,0,1.294
24,0.088,27.150,0,1.479
4,0.037,19.661,1,1.064
8,0.061,30.999,1,1.159
12,0.065,26.364,1,1.177
24,0.066,24.902,1,1.635
4,0.056,19.498,0,1.087
8,0.061,22.010,0,1.062
12,0.048,26.729,0,1.178
24,0.079,25.762,0,1.415
4,0.068,29.348,1,0.996
8,0.070,27.855,1,1.122
12,0.111,38.310,1,1.212
24,0.063,33.978,1,1.479
4,0.050,22.461,0,1.147
8,0.090,36.927,0,1.038
12,0.117,38.262,0,1.083
24,0.054,26.548,0,1.528
4,0.049,25.366,1,1.162
8,0.107,34.478,1,1.143
12,0.118,37.686,1,1.279
24,0.084,30.990,1,1.569
4,0.042,18.828,0,1.148
8,0.053,28.529,0,1.165
12,0.036,12.168,0,1.280
24,0.065,28.695,0,1.416
4,0.054,21.853,1,1.086
8,0.043,23.338,1,1.208
12,0.024,11.332,1,1.337
24,0.033,11.012,1,1.583
4,0.039,20.450,0,1.112
8,0.046,27.526,0,1.204
12,0.079,27.426,0,1.247
24,0.051,20.564,0,1.620
4,0.021,10.567,1,1.130
8,0.038,21.005,1,1.289
12,0.062,24.367,1,1.251
24,0.063,35.382,1,1.514
