v,d,s,r,p
4,0.024,10.754,0,1.093
8,0.086,31.316,0,1.256
12,0.024,14.107,0,1.487
24,0.076,31.176,0,1.353
4,0.070,32.997,1,1.049
8,0.069,29.183,1,1.214
12,0.027,10.246,1,1.433
24,0.065,31.708,1,1.532
4,0.023,11.839,0,1.084
8,0.022,10.726,0,1.254
12,0.043,25.540,0,1.200
24,0.091,27.375,0,1.416
4,0.033,14.723,1,1.191
8,0.034,14.808,1,1.287
12,0.072,23.197,1,1.289
24,0.099,36.317,1,1.427
4,0.089,28.368,0,1.090
8,0.042,19.516,0,1.126
12,0.084,35.780,0,1.127
24,0.050,25.126,0,1.418
4,0.031,16.702,1,1.142
8,0.044,23.807,1,1.290
12,0.043,15.926,1,1.366
24,0.019,11.053,1,1.777
4,0.044,23.236,0,1.132
8,0.068,28.375,0,1.212
12,0.034,10.385,0,1.394
24,0.039,20.972,0,1.702
4,0.058,22.588,1,1.002
8,0.052,21.704,1,1.255
12,0.020,10.292,1,1.562
24,0.029,10.252,1,1.751
4,0.057,29.470,0,1.094
8,0.093,35.739,0,1.223
12,0.027,14.626,0,1.478
24,0.067,35.149,0,1.378
4,0.112,35.056,1,1.157
8,0.061,21.897,1,1.247
12,0.051,17.187,1,1.381
24,0.060,20.437,1,1.430
4,0.034,12.360,0,1.092
8,0.079,32.799,0,1.148
12,0.058,30.997,0,1.347
24,0.049,24.502,0,1.562
4,0.035,15.123,1,0.992
8,0.061,20.167,1,1.246
12,0.051,18.285,1,1.376
24,0.067,28.563,1,1.516
4,0.082,35.069,0,1.113
8,0.080,23.984,0,1.096
12,0.041,20.922,0,1.430
24,0.065,32.937,0,1.412
4,0.039,19.520,1,1.116
8,0.122,38.332,1,1.043
12,0.065,21.407,1,1.167
24,0.068,26.620,1,1.579
4,0.074,39.099,0,1.037
8,0.084,31.496,0,1.187
12,0.045,21.356,0,1.255
24,0.037,20.336,0,1.733
4,0.020,10.422,1,1.224
8,0.029,13.154,1,1.280
12,0.038,19.490,1,1.383
24,0.077,27.430,1,1.395
4,0.080,32.371,0,1.065
